CustomerName,OutputExcelFolder,DBLocation,WorkingHours,WorkingDays,BaseSurveyors,POR,PORYear,PORStartingDate,POREndingDate
Avacon,398246560432,EU1,6,5,,,2026,,
Westnetz,398249270000,EU1,6,5,,,2026,,
Syna,398248268726,EU1,6,5,,,2026,,
NBB,398247366692,EU1,6,5,,,2026,,
EWE,398251266011,EU1,6,5,,,2026,,
ENBW,398247368526,EU1,6,5,,,2026,,
Thuega Energienetze,398250189267,EU1,6,5,,,2026,,
Energieversorgung Filstal,398250462372,EU1,6,5,,,2026,,
E-NETZ SUDHESSEN,398249781410,EU1,6,5,,,2026,,
Netz Niederösterreich,398256904676,EU1,6,5,,,2026,,
Stedin,398260816518,EU1,6,5,,,2026,,
Gas Networks Ireland,385063165916,EU1,8,6,,,2026,01-04-2026,31-03-2027
Wales and West Utilities,390960004101,EU1,8,6,,,2026,01-04-2026,31-03-2027
Cadent,375691804502,EU2,7,7,25,127000,2026,01-04-2026,31-03-2027
PSG,402825591696,EU1,8,5,,5300,2026,01-04-2026,31-12-2026
