CustomerName,OutputExcelFolder,DBLocation,WorkingHours,WorkingDays,BaseSurveyors,POR,PORYear,PORStartingDate,POREndingDate,IsActive
Avacon,398246560432,EU1,6,5,,,2026,,,1
Westnetz,398249270000,EU1,6,5,,,2026,,,1
Syna,398248268726,EU1,6,5,,,2026,,,1
NBB,398247366692,EU1,6,5,,,2026,,,1
EWE,398251266011,EU1,6,5,,,2026,,,1
ENBW,398247368526,EU1,6,5,,,2026,,,1
Thuega Energienetze,398250189267,EU1,6,5,,,2026,,,1
Energieversorgung Filstal,398250462372,EU1,6,5,,,2026,,,1
E-NETZ SUDHESSEN,398249781410,EU1,6,5,,,2026,,,1
Netz Niederösterreich,398256904676,EU1,6,5,,,2026,,,1
Stedin,398260816518,EU1,6,5,,,2026,,,1
Gas Networks Ireland,385063165916,EU1,8,6,,,2026,01-04-2026,31-03-2027,1
Wales and West Utilities,390960004101,EU1,8,5,,,2026,01-04-2026,31-03-2027,1
Cadent,375691804502,EU2,7,7,25,127000,2026,01-04-2026,31-03-2027,0
PSG,402825591696,EU1,8,5,,5300,2026,01-04-2026,31-12-2026,1
